ENTRY_GROUP,METRIC,VALUE
oracle,elapsed_time_metrics,1670237.0
oracle,entries_length_metrics,1001.0
oracle,metadata_payload_bytes_metrics,1608301.0
oracle,datacatalog_api_calls,3593.0
oracle,google.cloud.datacatalog.v1beta1.DataCatalog.CreateEntry#200,897.0
oracle,google.cloud.datacatalog.v1beta1.DataCatalog.CreateEntryGroup#200,1.0
oracle,google.cloud.datacatalog.v1beta1.DataCatalog.CreateTag#200,897.0
oracle,google.cloud.datacatalog.v1beta1.DataCatalog.CreateTagTemplate#200,2.0
oracle,google.cloud.datacatalog.v1beta1.DataCatalog.GetEntry#403,898.0
oracle,google.cloud.datacatalog.v1beta1.DataCatalog.ListTags#200,897.0
oracle,google.cloud.datacatalog.v1beta1.DataCatalog.SearchCatalog#200,1.0
