ENTRY_GROUP,METRIC,VALUE
postgresql,elapsed_time_metrics,1785508.0
postgresql,entries_length_metrics,1001.0
postgresql,metadata_payload_bytes_metrics,877566.0
postgresql,datacatalog_api_calls,3887.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.CreateEntry#200,937.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.CreateEntryGroup#200,1.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.CreateEntryGroup#409,1.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.CreateTag#200,936.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.CreateTagTemplate#200,2.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.CreateTagTemplate#409,2.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.DeleteEntry#200,125.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.DeleteEntryGroup#200,1.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.DeleteEntryGroup#400,1.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.DeleteTagTemplate#200,2.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.GetEntry#200,1.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.GetEntry#403,937.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.ListTags#200,937.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.SearchCatalog#200,2.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.UpdateEntry#200,1.0
postgresql,google.cloud.datacatalog.v1beta1.DataCatalog.UpdateTag#200,1.0
