ENTRY_GROUP,METRIC,VALUE
sqlserver,elapsed_time_metrics,1721037.0
sqlserver,entries_length_metrics,1012.0
sqlserver,metadata_payload_bytes_metrics,1284742.0
sqlserver,datacatalog_api_calls,3771.0
sqlserver,google.cloud.datacatalog.v1beta1.DataCatalog.CreateEntry#200,940.0
sqlserver,google.cloud.datacatalog.v1beta1.DataCatalog.CreateEntryGroup#200,1.0
sqlserver,google.cloud.datacatalog.v1beta1.DataCatalog.CreateEntryGroup#409,3.0
sqlserver,google.cloud.datacatalog.v1beta1.DataCatalog.CreateTag#200,939.0
sqlserver,google.cloud.datacatalog.v1beta1.DataCatalog.CreateTagTemplate#200,2.0
sqlserver,google.cloud.datacatalog.v1beta1.DataCatalog.CreateTagTemplate#409,6.0
sqlserver,google.cloud.datacatalog.v1beta1.DataCatalog.GetEntry#403,940.0
sqlserver,google.cloud.datacatalog.v1beta1.DataCatalog.ListTags#200,939.0
sqlserver,google.cloud.datacatalog.v1beta1.DataCatalog.SearchCatalog#200,1.0
